clean,corrupted,correct_idx
The price of that gem ranges from $ 1681 to $ 16,The price of that gem ranges from $ 1601 to $ 16,81
The price of that gem ranges from $ 1202 to $ 12,The price of that gem ranges from $ 1201 to $ 12,2
The price of that scarf ranges from $ 1221 to $ 12,The price of that scarf ranges from $ 1201 to $ 12,21
The price of that shirt ranges from $ 1166 to $ 11,The price of that shirt ranges from $ 1101 to $ 11,66
The price of that painting ranges from $ 1602 to $ 16,The price of that painting ranges from $ 1601 to $ 16,2
The price of that suitcase ranges from $ 1493 to $ 14,The price of that suitcase ranges from $ 1401 to $ 14,93
The price of that gem ranges from $ 1726 to $ 17,The price of that gem ranges from $ 1701 to $ 17,26
The price of that TV ranges from $ 1512 to $ 15,The price of that TV ranges from $ 1501 to $ 15,12
The price of that painting ranges from $ 1281 to $ 12,The price of that painting ranges from $ 1201 to $ 12,81
The price of that necklace ranges from $ 1477 to $ 14,The price of that necklace ranges from $ 1401 to $ 14,77
The price of that sweater ranges from $ 1679 to $ 16,The price of that sweater ranges from $ 1601 to $ 16,79
The price of that suitcase ranges from $ 1741 to $ 17,The price of that suitcase ranges from $ 1701 to $ 17,41
The price of that suitcase ranges from $ 1633 to $ 16,The price of that suitcase ranges from $ 1601 to $ 16,33
The price of that plant ranges from $ 1637 to $ 16,The price of that plant ranges from $ 1601 to $ 16,37
The price of that bed ranges from $ 1262 to $ 12,The price of that bed ranges from $ 1201 to $ 12,62
The price of that bike ranges from $ 1355 to $ 13,The price of that bike ranges from $ 1301 to $ 13,55
The price of that plant ranges from $ 1277 to $ 12,The price of that plant ranges from $ 1201 to $ 12,77
The price of that painting ranges from $ 1661 to $ 16,The price of that painting ranges from $ 1601 to $ 16,61
The price of that bed ranges from $ 1404 to $ 14,The price of that bed ranges from $ 1401 to $ 14,4
The price of that fridge ranges from $ 1348 to $ 13,The price of that fridge ranges from $ 1301 to $ 13,48
The price of that ring ranges from $ 1119 to $ 11,The price of that ring ranges from $ 1101 to $ 11,19
The price of that sweater ranges from $ 1765 to $ 17,The price of that sweater ranges from $ 1701 to $ 17,65
The price of that shirt ranges from $ 1625 to $ 16,The price of that shirt ranges from $ 1601 to $ 16,25
The price of that chair ranges from $ 1338 to $ 13,The price of that chair ranges from $ 1301 to $ 13,38
The price of that chair ranges from $ 1645 to $ 16,The price of that chair ranges from $ 1601 to $ 16,45
The price of that suitcase ranges from $ 1110 to $ 11,The price of that suitcase ranges from $ 1101 to $ 11,10
The price of that suit ranges from $ 1245 to $ 12,The price of that suit ranges from $ 1201 to $ 12,45
The price of that shirt ranges from $ 1534 to $ 15,The price of that shirt ranges from $ 1501 to $ 15,34
The price of that sweater ranges from $ 1498 to $ 14,The price of that sweater ranges from $ 1401 to $ 14,98
The price of that bed ranges from $ 1237 to $ 12,The price of that bed ranges from $ 1201 to $ 12,37
The price of that watch ranges from $ 1208 to $ 12,The price of that watch ranges from $ 1201 to $ 12,8
The price of that table ranges from $ 1593 to $ 15,The price of that table ranges from $ 1501 to $ 15,93
The price of that plant ranges from $ 1410 to $ 14,The price of that plant ranges from $ 1401 to $ 14,10
The price of that suit ranges from $ 1636 to $ 16,The price of that suit ranges from $ 1601 to $ 16,36
The price of that sweater ranges from $ 1404 to $ 14,The price of that sweater ranges from $ 1401 to $ 14,4
The price of that sweater ranges from $ 1388 to $ 13,The price of that sweater ranges from $ 1301 to $ 13,88
The price of that gem ranges from $ 1272 to $ 12,The price of that gem ranges from $ 1201 to $ 12,72
The price of that suit ranges from $ 1176 to $ 11,The price of that suit ranges from $ 1101 to $ 11,76
The price of that bed ranges from $ 1296 to $ 12,The price of that bed ranges from $ 1201 to $ 12,96
The price of that fridge ranges from $ 1535 to $ 15,The price of that fridge ranges from $ 1501 to $ 15,35
The price of that fridge ranges from $ 1446 to $ 14,The price of that fridge ranges from $ 1401 to $ 14,46
The price of that fridge ranges from $ 1462 to $ 14,The price of that fridge ranges from $ 1401 to $ 14,62
The price of that table ranges from $ 1603 to $ 16,The price of that table ranges from $ 1601 to $ 16,3
The price of that plant ranges from $ 1794 to $ 17,The price of that plant ranges from $ 1701 to $ 17,94
The price of that TV ranges from $ 1447 to $ 14,The price of that TV ranges from $ 1401 to $ 14,47
The price of that sweater ranges from $ 1387 to $ 13,The price of that sweater ranges from $ 1301 to $ 13,87
The price of that shirt ranges from $ 1791 to $ 17,The price of that shirt ranges from $ 1701 to $ 17,91
The price of that scarf ranges from $ 1752 to $ 17,The price of that scarf ranges from $ 1701 to $ 17,52
The price of that shirt ranges from $ 1396 to $ 13,The price of that shirt ranges from $ 1301 to $ 13,96
The price of that table ranges from $ 1778 to $ 17,The price of that table ranges from $ 1701 to $ 17,78
The price of that dress ranges from $ 1529 to $ 15,The price of that dress ranges from $ 1501 to $ 15,29
The price of that TV ranges from $ 1322 to $ 13,The price of that TV ranges from $ 1301 to $ 13,22
The price of that gem ranges from $ 1464 to $ 14,The price of that gem ranges from $ 1401 to $ 14,64
The price of that chair ranges from $ 1275 to $ 12,The price of that chair ranges from $ 1201 to $ 12,75
The price of that lamp ranges from $ 1463 to $ 14,The price of that lamp ranges from $ 1401 to $ 14,63
The price of that suitcase ranges from $ 1476 to $ 14,The price of that suitcase ranges from $ 1401 to $ 14,76
The price of that chair ranges from $ 1356 to $ 13,The price of that chair ranges from $ 1301 to $ 13,56
The price of that table ranges from $ 1555 to $ 15,The price of that table ranges from $ 1501 to $ 15,55
The price of that watch ranges from $ 1293 to $ 12,The price of that watch ranges from $ 1201 to $ 12,93
The price of that plant ranges from $ 1594 to $ 15,The price of that plant ranges from $ 1501 to $ 15,94
The price of that suitcase ranges from $ 1245 to $ 12,The price of that suitcase ranges from $ 1201 to $ 12,45
The price of that sculpture ranges from $ 1745 to $ 17,The price of that sculpture ranges from $ 1701 to $ 17,45
The price of that bed ranges from $ 1243 to $ 12,The price of that bed ranges from $ 1201 to $ 12,43
The price of that fridge ranges from $ 1543 to $ 15,The price of that fridge ranges from $ 1501 to $ 15,43
The price of that lamp ranges from $ 1433 to $ 14,The price of that lamp ranges from $ 1401 to $ 14,33
The price of that table ranges from $ 1474 to $ 14,The price of that table ranges from $ 1401 to $ 14,74
The price of that sweater ranges from $ 1746 to $ 17,The price of that sweater ranges from $ 1701 to $ 17,46
The price of that bed ranges from $ 1394 to $ 13,The price of that bed ranges from $ 1301 to $ 13,94
The price of that gem ranges from $ 1436 to $ 14,The price of that gem ranges from $ 1401 to $ 14,36
The price of that sweater ranges from $ 1614 to $ 16,The price of that sweater ranges from $ 1601 to $ 16,14
The price of that suit ranges from $ 1483 to $ 14,The price of that suit ranges from $ 1401 to $ 14,83
The price of that painting ranges from $ 1684 to $ 16,The price of that painting ranges from $ 1601 to $ 16,84
The price of that chair ranges from $ 1419 to $ 14,The price of that chair ranges from $ 1401 to $ 14,19
The price of that lamp ranges from $ 1751 to $ 17,The price of that lamp ranges from $ 1701 to $ 17,51
The price of that plant ranges from $ 1208 to $ 12,The price of that plant ranges from $ 1201 to $ 12,8
The price of that dress ranges from $ 1789 to $ 17,The price of that dress ranges from $ 1701 to $ 17,89
The price of that chair ranges from $ 1170 to $ 11,The price of that chair ranges from $ 1101 to $ 11,70
The price of that fridge ranges from $ 1134 to $ 11,The price of that fridge ranges from $ 1101 to $ 11,34
The price of that bike ranges from $ 1689 to $ 16,The price of that bike ranges from $ 1601 to $ 16,89
The price of that sculpture ranges from $ 1346 to $ 13,The price of that sculpture ranges from $ 1301 to $ 13,46
The price of that painting ranges from $ 1277 to $ 12,The price of that painting ranges from $ 1201 to $ 12,77
The price of that gem ranges from $ 1567 to $ 15,The price of that gem ranges from $ 1501 to $ 15,67
The price of that table ranges from $ 1223 to $ 12,The price of that table ranges from $ 1201 to $ 12,23
The price of that scarf ranges from $ 1672 to $ 16,The price of that scarf ranges from $ 1601 to $ 16,72
The price of that ring ranges from $ 1234 to $ 12,The price of that ring ranges from $ 1201 to $ 12,34
The price of that sweater ranges from $ 1738 to $ 17,The price of that sweater ranges from $ 1701 to $ 17,38
The price of that necklace ranges from $ 1386 to $ 13,The price of that necklace ranges from $ 1301 to $ 13,86
The price of that gem ranges from $ 1654 to $ 16,The price of that gem ranges from $ 1601 to $ 16,54
The price of that lamp ranges from $ 1715 to $ 17,The price of that lamp ranges from $ 1701 to $ 17,15
The price of that TV ranges from $ 1670 to $ 16,The price of that TV ranges from $ 1601 to $ 16,70
The price of that watch ranges from $ 1328 to $ 13,The price of that watch ranges from $ 1301 to $ 13,28
The price of that sculpture ranges from $ 1142 to $ 11,The price of that sculpture ranges from $ 1101 to $ 11,42
The price of that sculpture ranges from $ 1732 to $ 17,The price of that sculpture ranges from $ 1701 to $ 17,32
The price of that sculpture ranges from $ 1646 to $ 16,The price of that sculpture ranges from $ 1601 to $ 16,46
The price of that sculpture ranges from $ 1240 to $ 12,The price of that sculpture ranges from $ 1201 to $ 12,40
The price of that sweater ranges from $ 1409 to $ 14,The price of that sweater ranges from $ 1401 to $ 14,9
The price of that bed ranges from $ 1583 to $ 15,The price of that bed ranges from $ 1501 to $ 15,83
The price of that table ranges from $ 1733 to $ 17,The price of that table ranges from $ 1701 to $ 17,33
The price of that watch ranges from $ 1421 to $ 14,The price of that watch ranges from $ 1401 to $ 14,21
The price of that bed ranges from $ 1687 to $ 16,The price of that bed ranges from $ 1601 to $ 16,87
The price of that painting ranges from $ 1479 to $ 14,The price of that painting ranges from $ 1401 to $ 14,79
The price of that plant ranges from $ 1540 to $ 15,The price of that plant ranges from $ 1501 to $ 15,40
The price of that fridge ranges from $ 1405 to $ 14,The price of that fridge ranges from $ 1401 to $ 14,5
The price of that ring ranges from $ 1356 to $ 13,The price of that ring ranges from $ 1301 to $ 13,56
The price of that bike ranges from $ 1474 to $ 14,The price of that bike ranges from $ 1401 to $ 14,74
The price of that dress ranges from $ 1247 to $ 12,The price of that dress ranges from $ 1201 to $ 12,47
The price of that sweater ranges from $ 1287 to $ 12,The price of that sweater ranges from $ 1201 to $ 12,87
